<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
116770,116840,116770,116840,110360,110400,110340,110400,110390,110430,110370,110430,115560,115570,115430,115440
116850,116870,116790,116840,110390,110400,110350,110350,110420,110460,110400,110440,115430,115470,115280,115300
116860,116860,116760,116770,110360,110360,110300,110350,110440,110460,110420,110430,115290,115370,115260,115310
116790,116800,116720,116720,110330,110350,110270,110300,110430,110460,110380,110390,115300,115300,115240,115280
116720,116750,116700,116700,110290,110370,110280,110340,110400,110410,110350,110400,115270,115270,115220,115230
116710,116790,116700,116750,110330,110350,110260,110270,110400,110410,110370,110380,115240,115270,115200,115240
116730,116750,116680,116730,110280,110300,110250,110270,110390,110420,110390,110410,115230,115330,115230,115310
116710,116780,116670,116770,110270,110310,110250,110290,110410,110460,110350,110380,115300,115330,115270,115280
116750,116840,116740,116800,110290,110500,110270,110500,110380,110410,110340,110340,115290,115300,115240,115240
116800,116800,116730,116740,110490,110510,110310,110360,110340,110340,110270,110290,115240,115300,115240,115270
116730,116730,116640,116730,110350,110430,110340,110410,110280,110340,110260,110320,115270,115320,115260,115270
116720,116750,116710,116740,110410,110440,110340,110370,110340,110380,110310,110330,115270,115280,115200,115210
116720,116810,116700,116780,110380,110390,110330,110330,110340,110340,110220,110230,115210,115300,115210,115280
116770,116780,116720,116770,110330,110360,110300,110320,110240,110310,110210,110250,115280,115360,115280,115350
116780,116800,116740,116760,110310,110310,110150,110210,110250,110260,110120,110140,115340,115420,115340,115400
116760,116790,116720,116730,110210,110280,110200,110270,110140,110250,110130,110240,115410,115420,115380,115400
116730,116760,116730,116760,110270,110280,110210,110220,110240,110260,110190,110230,115380,115400,115320,115340
116760,116780,116750,116760,110220,110360,110210,110350,110230,110240,110200,110220,115360,115450,115360,115450
116760,116840,116760,116830,110350,110350,110280,110320,110230,110270,110160,110180,115450,115490,115420,115480
116810,116890,116800,116850,110330,110470,110300,110450,110180,110190,110120,110150,115490,115520,115440,115460
116840,116850,116770,116820,110460,110750,110430,110640,110140,110150,109860,109940,115460,115490,115430,115450
116800,116810,116780,116800,110630,110700,110620,110670,109930,110040,109870,110010,115440,115550,115410,115410
116800,116880,116790,116840,110650,110670,110580,110590,110020,110040,109980,110000,115410,115570,115410,115570
